unique_num,campain_code,customer_code,customer_name,brand_code,brand_name,pro_code,pro_name,encrypt_procode,decrypt_procode,url
44,16_1_4,16,제이엠비즈콘,1,테팔,4,18. 데일리쿡 인덕션 양수냄비 18cm,MTQ3MDUwNg,1470506,https://skt.sellerd.co.kr/m/product/details/sktlms?referrer=SKT_LMS&cid=Ts238U-skt001-oq23Mp&proCode=MTQ3MDUwNg&aid=16_1_4_[DATE]&mid=TMS&rid=[SEQ]
44,16_1_4,16,제이엠비즈콘,1,테팔,4,19. 데일리쿡 인덕션 양수냄비 20cm,MTQ3MDUwNg,1470506,https://skt.sellerd.co.kr/m/product/details/sktlms?referrer=SKT_LMS&cid=Ts238U-skt001-oq23Mp&proCode=MTQ3MDUwNg&aid=16_1_4_[DATE]&mid=TMS&rid=[SEQ]
44,16_1_4,16,제이엠비즈콘,1,테팔,4,20. 데일리쿡 인덕션 양수냄비 24cm,MTQ3MDUwNg,1470506,https://skt.sellerd.co.kr/m/product/details/sktlms?referrer=SKT_LMS&cid=Ts238U-skt001-oq23Mp&proCode=MTQ3MDUwNg&aid=16_1_4_[DATE]&mid=TMS&rid=[SEQ]
44,16_1_5,16,제이엠비즈콘,1,테팔,5,21. 심플리 인벤트 스테인레스 스틸 핸드블랜더,MTQ3MDUwNw,1470507,https://skt.sellerd.co.kr/m/product/details/sktlms?referrer=SKT_LMS&cid=Ts238U-skt001-oq23Mp&proCode=MTQ3MDUwNw&aid=16_1_5_[DATE]&mid=TMS&rid=[SEQ]
44,16_1_7,16,제이엠비즈콘,1,테팔,7,23. 테팔 매직핸즈 블루라곤,MTQ3MDUwOQ,1470509,https://skt.sellerd.co.kr/m/product/details/sktlms?referrer=SKT_LMS&cid=Ts238U-skt001-oq23Mp&proCode=MTQ3MDUwOQ&aid=16_1_7_[DATE]&mid=TMS&rid=[SEQ]
53,16_1_6,16,제이엠비즈콘,1,테팔,6,22. 테팔 익스프레스 1구 인덕션 레인지,MTQ3MDUwOA,1470508,https://skt.sellerd.co.kr/m/product/details/sktlms?referrer=SKT_LMS&cid=Ts238U-skt001-oq23Mp&proCode=MTQ3MDUwOA&aid=16_1_6_[DATE]&mid=TMS&rid=[SEQ]
53,16_1_8,16,제이엠비즈콘,1,테팔,8,"1. 에센셜 포켓 드라이기 ",MTQ3MDUzMg,1470532,https://skt.sellerd.co.kr/m/product/details/sktlms?referrer=SKT_LMS&cid=Ts238U-skt001-oq23Mp&proCode=MTQ3MDUzMg&aid=16_1_8_[DATE]&mid=TMS&rid=[SEQ]
53,16_1_8,16,제이엠비즈콘,1,테팔,8,2. 테팔 엘리트 스튜디오 드라이,MTQ3MDUzMg,1470532,https://skt.sellerd.co.kr/m/product/details/sktlms?referrer=SKT_LMS&cid=Ts238U-skt001-oq23Mp&proCode=MTQ3MDUzMg&aid=16_1_8_[DATE]&mid=TMS&rid=[SEQ]
53,16_1_9,16,제이엠비즈콘,1,테팔,9,3. 테팔 버츄오 스팀 다리미,MTQ3MDUzNA,1470534,https://skt.sellerd.co.kr/m/product/details/sktlms?referrer=SKT_LMS&cid=Ts238U-skt001-oq23Mp&proCode=MTQ3MDUzNA&aid=16_1_9_[DATE]&mid=TMS&rid=[SEQ]
53,16_1_10,16,제이엠비즈콘,1,테팔,10,4. 커피메이커 컬러터치,MTQ3MDUzNg,1470536,https://skt.sellerd.co.kr/m/product/details/sktlms?referrer=SKT_LMS&cid=Ts238U-skt001-oq23Mp&proCode=MTQ3MDUzNg&aid=16_1_10_[DATE]&mid=TMS&rid=[SEQ]
